Name,Type,Lat,Lon
Adormirea Maicii Domnului,lacase_cult,46.9483601,26.4442365
Biserica Catolică,lacase_cult,45.9650376,21.4776323
"Casa de rugăciune ""Filadelfia""",lacase_cult,45.9644125,21.4760582
Biserica Ortodoxă,lacase_cult,45.9650232,21.482434
Biserica Ortodoxă Greacă,lacase_cult,46.3420956,21.3078466
Biserica Ortodoxă Română,lacase_cult,46.3419075,21.3076908
Biserica Ortodoxă,lacase_cult,46.3851518,21.3111335
Biserica Nașterea Maicii Domnului,lacase_cult,47.2164749,27.522049
Mănăstirea Râmeț,lacase_cult,46.300868,23.5215663
Biserica,lacase_cult,46.3398326,21.3121171
Biserica Nașterea Maicii Domnului,lacase_cult,47.3473312,25.3485232
Biserica Ortodoxă Negrești - Sf. Ilie,lacase_cult,47.3435157,25.3488022
Mânăstirea Măgura Ocnei (Înălțarea Domnului),lacase_cult,46.2707925,26.586395
Catedrala Sfânta Treime,lacase_cult,47.3445315,25.3562509
Biserica Bârnărel,lacase_cult,47.3498094,25.3681545
Mănăstirea Sfântul Dimitrie,lacase_cult,47.3476713,25.3695471
Sf Mina,lacase_cult,46.9368819,26.3804598
Biserica Ortodoxă Sf. Alexandru,lacase_cult,44.4566275,26.1412016
Biserica Catolică Sfântul Iosif,lacase_cult,46.6423289,27.7277364
Mănăstirea Cebza,lacase_cult,45.5589521,21.0642668
Biserica Sfântu Vasile,lacase_cult,46.9506889,24.6920995
Biserica Gledin,lacase_cult,46.9565295,24.7057062
Biserica Ortodoxă - Hodișa,lacase_cult,47.5770043,22.9743149
Biserica Reformată,lacase_cult,47.4760705,22.5818012
"Biserica Ortodoxă ""Sfânta Treime - Dudești""",lacase_cult,44.4224012,26.1321784
"Biserica Ortodoxă ""Delea Nouă - Calist""",lacase_cult,44.4313839,26.1305134
Biserica Ortodoxă „Dichiu”,lacase_cult,44.4476107,26.1107163
Biserica Văculești,lacase_cult,47.8762052,26.4123283
Mănăstirea Țeghea,lacase_cult,47.5866343,22.7201974
Biserica Sfântul Iosif,lacase_cult,45.1525826,26.8114058
Biserica Sfânta Parascheva,lacase_cult,45.1558472,26.8057625
Biserica Sfinții Mihail și Gavril,lacase_cult,45.1374809,26.8316764
Maranata,lacase_cult,45.7661293,21.2820593
Biserica Podgoria,lacase_cult,47.0595695,22.0026115
Biserica Catolică Mădăras,lacase_cult,47.6834397,22.8643308
Biserica Greco-Catolică,lacase_cult,46.9967468,21.9967072
Biserica Sfântul Nicolae - Socola,lacase_cult,47.1443308,27.5952762
Biserica Mănăstirii Premonstratense Maica Îndurerată,lacase_cult,47.0600859,21.9315468
Piarista Tanulmányi Ház,lacase_cult,46.367744,25.8088144
Congregația Surorilor Oblate Asumpționiste „Mănăstirea Sfânta Treime”,lacase_cult,44.4904479,26.0922645
Biserica Ortodoxă „Sfântul Ilie”,lacase_cult,45.3874831,27.0615788
Biserica Eroilor,lacase_cult,43.89822,25.9683241
Biserica Cucuteni,lacase_cult,47.2738499,26.9381068
Schitul Cotnari - Liteanca,lacase_cult,47.3479026,26.9453325
Biserica Sf Dumitru,lacase_cult,47.4273955,26.9042821
Mănăstirea Vorona,lacase_cult,47.5803264,26.6654546
Mănăstirea Vorona,lacase_cult,47.579539,26.665652
Cimitir,lacase_cult,45.7411152,22.9856339
biserică,lacase_cult,45.0853814,26.4118987
Biserica Romano-Catolică Craidorolț,lacase_cult,47.6121235,22.703155
Biserica Ortodoxă Pișcari,lacase_cult,47.6549029,22.7301068
Biserica Sf.Iosif,lacase_cult,47.7926817,22.8887129
Biserica Ortodoxă Amați,lacase_cult,47.7410192,22.921748
Biserica,lacase_cult,45.3623326,26.6623598
Biserica Sfinții Trei Ierarh,lacase_cult,46.5301169,24.5563716
Schit Zosim vechi,lacase_cult,47.6558298,26.7697298
Biserica Lăzești,lacase_cult,46.4210711,22.9085273
Biserica Sfântul Anton de Padova,lacase_cult,45.5607876,25.325779
Biserica Creștină Adventistă de Ziua a Șaptea,lacase_cult,44.2056438,27.3118545
Biserica Sfântul Gheorghe,lacase_cult,44.1890127,27.3428472
Biserica Pogorârea Sfântului Duh,lacase_cult,46.9282892,26.36145
Biserica Adormirea Maicii Domnului (Precista),lacase_cult,46.9333868,26.3604067
Biserica Șieuț,lacase_cult,46.9764771,24.6483582
Biserica Sfântul Daniel,lacase_cult,47.1333629,27.5724612
Biserica Buzești,lacase_cult,44.4488174,24.7200044
Biserica Sfinții Constantin și Elena,lacase_cult,47.1789214,27.5166395
Mănăstirea Clocociov,lacase_cult,44.4117412,24.3639856
Biserica de lemn din Budești Josani,lacase_cult,47.7315836,23.9441494
Biserica Sfântul Ilie,lacase_cult,47.1104748,27.6082243
Biserica Sfânta Ana,lacase_cult,46.5337013,24.5724888
Biserica,lacase_cult,46.5504938,24.5695793
Biserica Clocociov,lacase_cult,44.4164217,24.3695017
Biserica Ortodoxă „Iancu Vechi”,lacase_cult,44.4400149,26.1290681
Biserica Ortodoxă,lacase_cult,46.3330957,21.6932903
Biserica Reformată,lacase_cult,46.3302075,21.6916562
Biserica Baptistă,lacase_cult,46.3285548,21.6894278
Biserica Luterană,lacase_cult,46.325565,21.6876669
Biserica Penticostală,lacase_cult,46.3259406,21.6857649
Biserica Tomești,lacase_cult,47.1249772,27.6957018
Capela Minoriților,lacase_cult,46.1964249,21.3070424
Biserica Sf. Mucenic Gheorghe,lacase_cult,44.2791021,24.990284
Biserica „Sfânta Irina”,lacase_cult,44.4983275,26.1738736
"Biserica Ortodoxă ""Sfântul Vasile cel Mare și Sfântul Serafim de Sarov""",lacase_cult,45.8081098,24.1549692
Biserica Sfântul Andrei,lacase_cult,44.8961817,23.1576934
Biserica Sf Voievozi,lacase_cult,44.0113652,25.2263568
Biserica Dumbrava,lacase_cult,47.0770118,27.5506113
Biserica Ciurea,lacase_cult,47.060399,27.5692741
Biserica Cuvioasa Parascheva,lacase_cult,46.9580355,27.9405632
Biserica Ciortești,lacase_cult,46.9091658,27.8405575
Biserica Dolhești,lacase_cult,46.8760508,27.9001975
Biserica Pietriș,lacase_cult,46.8839295,27.9153257
Biserica,lacase_cult,46.8544453,27.8868374
Biserica Ortodoxă „Sfântul Andrei”,lacase_cult,44.4176039,26.0163558
Biserica Creștină Baptistă Providența Tulca,lacase_cult,46.7860999,21.7728329
Biserica Ortodoxă,lacase_cult,46.7867427,21.7717868
Biserica Ortodoxă,lacase_cult,46.7908322,21.8187617
Biserica Baptistă,lacase_cult,46.7897914,21.8186121
Biserica Adventistă,lacase_cult,47.7406364,26.6528869
Biserica Vovidenia,lacase_cult,47.7404362,26.663504
Mănăstirea Podgoria Copou,lacase_cult,47.1930539,27.5484983
Biserica Mitocul Maicilor,lacase_cult,47.1677584,27.5800084
Capela Sfinții Împărați Constantin și Elena,lacase_cult,47.2012953,27.5380161
Biserica Botiza,lacase_cult,47.6899974,24.1224298
Biserica,lacase_cult,47.162046,27.5827819
Sfințești,lacase_cult,44.183333,25.1
Biserica Sfântul Voievod Ștefan cel Mare și Sfânt,lacase_cult,47.1479259,27.5867154
Biserica Sfinții Trei Ierarhi,lacase_cult,46.3088276,23.7184061
Biserica Ortodoxă Sfântul Calinic,lacase_cult,44.4268897,26.1491417
Biserica Ortodoxă „Sfântul Nicolae” Otopeni,lacase_cult,44.5524067,26.0895774
Biserica Adormirea Maicii Domnului,lacase_cult,47.204925,26.3657619
Biserica Adventistă Balta Albă,lacase_cult,44.4112149,26.1625572
Biserica Pogorârea Sfântului Duh,lacase_cult,47.1795279,27.4979203
Biserica Sf. Nicolae,lacase_cult,44.4270515,24.3557808
Biserica Maica Domnului,lacase_cult,44.4279419,24.3579032
Biserica,lacase_cult,45.9027071,21.5033189
Biserica,lacase_cult,44.7640519,25.2577839
Biserica,lacase_cult,44.7925917,25.2428437
Biserica,lacase_cult,44.8441075,25.2510417
Biserica,lacase_cult,46.5579956,24.5805958
Biserica Rusciori,lacase_cult,45.8137412,24.0302566
