Name,Type,Lat,Lon
Biserica Golgota,lacas de cult,45.7626979,22.9171838
Mănăstirea Movila lui Burcel,lacas de cult,46.8463229,27.8057168
Biserica Penticostală Betania,lacas de cult,44.1128265,24.3515083
Biserica Sfintii Apostoli Petru si Pavel,lacas de cult,44.1175225,24.3549567
Biserica Protestantă Sfânta Treime,lacas de cult,44.1112597,24.3440187
Chilia Cleopa,lacas de cult,47.1760925,26.1656278
Biserica dintr-un brad,lacas de cult,47.1490917,26.1798134
Mănăstirea Sihla,lacas de cult,47.1494522,26.1804772
Peștera Cuvioasei Teodora,lacas de cult,47.1502637,26.1795879
Biserica Grozești,lacas de cult,46.9958263,28.0559329
Biserica Sfantul Ioan Botezatorul,lacas de cult,44.111269,24.3419404
biserică,lacas de cult,47.9265648,26.6505807
Biserica Nicșeni,lacas de cult,47.8592736,26.6350726
Sinagoga,lacas de cult,44.1152919,24.3529637
Biserica Sfantul Ierarh Vasile,lacas de cult,44.1084746,24.3420657
Biserica Chișcăreni,lacas de cult,47.9635184,26.828038
Mănăstirea Mălinești,lacas de cult,46.7838341,27.2820025
"Mănăstirea Florești (Simila, Florentina)",lacas de cult,46.553875,27.5573466
Biserica Sfânta Cuvioasă Parascheva,lacas de cult,47.7451446,26.6605187
Biserica fortificată din Saschiz,lacas de cult,46.1941575,24.9601603
Mănăstirea Măcin,lacas de cult,45.2557225,28.142032
Biserica Ortodoxă Slobozia,lacas de cult,47.3980346,26.7433454
Biserica Dâmbovicioara,lacas de cult,45.4374543,25.2319441
Biserica Sirnea (1923),lacas de cult,45.4707037,25.2554654
Biserica Sfânta Elisabeta,lacas de cult,46.1526969,24.7227868
Schitul Colț (Suseni-Colț),lacas de cult,45.4800481,22.8718455
Biserica Ortodoxă Bogata Olteană (1820),lacas de cult,45.979741,25.3547657
Biserica Sfântul Ilie,lacas de cult,46.2045002,26.4352477
Biserica,lacas de cult,46.2132601,26.4462048
Biserica Evanghelică Luterană,lacas de cult,45.765112,25.6427769
Biserica Ortodoxă,lacas de cult,45.762942,25.637636
Biserica,lacas de cult,46.4431844,21.5654205
Schitul Breaza,lacas de cult,45.6733685,24.8841128
Biserica Memorială Gheorghe Lazăr,lacas de cult,45.7265821,24.3714367
Schitul Durău,lacas de cult,46.9979291,25.9208505
Biserica Evanghelica Sânpetru,lacas de cult,45.712167,25.6329934
Biserica Ortodoxă „Sfântul Gheorghe - Capră”,lacas de cult,44.4445627,26.1462276
Biserica Sfinții Trei Ierarhi,lacas de cult,45.6662796,25.5772765
Biserica Penticostală,lacas de cult,46.4442396,21.5654154
